Latitude (decimal degrees):	35.141
Longitude (decimal degrees):	33.415
Elevation (m):	142
Radiation database:	PVGIS-SARAH3


Slope: 28 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231026:0909,6664300.0,660.52,233.78,7.8,42.24,28.45,1.93,0.0
20231026:1009,6341700.0,593.13,255.81,7.48,41.56,29.2,2.0,0.0
20231026:1109,5053000.0,381.49,282.43,6.09,36.94,29.51,2.14,0.0
20231026:1209,3050000.0,150.89,246.61,3.99,29.28,29.3,2.21,0.0
20231026:1309,2549600.0,175.39,159.75,2.97,19.6,28.43,2.14,0.0
20231026:1409,1331100.0,129.92,66.5,1.35,8.67,27.29,1.79,0.0
20231026:1509,0.0,0.0,0.0,0.0,0.0,25.82,1.17,0.0
20231026:1609,0.0,0.0,0.0,0.0,0.0,24.31,0.76,0.0
20231026:1709,0.0,0.0,0.0,0.0,0.0,24.11,0.28,0.0
20231026:1809,0.0,0.0,0.0,0.0,0.0,22.74,0.76,0.0
20231026:1909,0.0,0.0,0.0,0.0,0.0,20.67,1.45,0.0
20231026:2009,0.0,0.0,0.0,0.0,0.0,20.14,1.52,0.0
20231026:2109,0.0,0.0,0.0,0.0,0.0,19.72,1.59,0.0
20231026:2209,0.0,0.0,0.0,0.0,0.0,19.32,1.59,0.0
20231026:2309,0.0,0.0,0.0,0.0,0.0,18.98,1.59,0.0
20231027:0009,0.0,0.0,0.0,0.0,0.0,18.85,1.59,0.0
20231027:0109,0.0,0.0,0.0,0.0,0.0,18.84,1.72,0.0
20231027:0209,0.0,0.0,0.0,0.0,0.0,18.76,1.66,0.0
20231027:0309,0.0,0.0,0.0,0.0,0.0,18.62,1.59,0.0
20231027:0409,0.0,0.0,0.0,0.0,0.0,18.61,1.59,0.0
20231027:0509,282400.0,0.0,48.94,0.61,12.11,19.1,1.45,0.0
20231027:0609,2380100.0,117.13,188.41,3.01,22.67,22.46,1.03,0.0
20231027:0709,5315800.0,513.1,184.11,5.89,31.76,26.85,1.31,0.0
20231027:0809,6246900.0,658.62,194.16,7.28,38.51,28.91,0.76,0.0
20231027:0909,6457100.0,678.87,221.12,7.78,41.9,30.12,0.48,0.0
20231027:1009,6469900.0,694.16,206.91,7.75,41.22,30.65,0.62,0.0
20231027:1109,5913500.0,612.86,195.9,6.89,36.62,30.78,0.83,0.0
20231027:1209,5013100.0,512.99,155.78,5.52,29.0,30.52,1.24,0.0
20231027:1309,3288500.0,309.39,125.31,3.44,19.35,29.76,1.66,0.0
20231027:1409,990000.0,82.98,67.47,1.14,8.44,28.53,1.03,0.0
20231027:1509,0.0,0.0,0.0,0.0,0.0,27.27,0.34,0.0
20231027:1609,0.0,0.0,0.0,0.0,0.0,26.16,0.21,0.0
20231027:1709,0.0,0.0,0.0,0.0,0.0,25.12,0.48,0.0
20231027:1809,0.0,0.0,0.0,0.0,0.0,22.44,1.17,0.0
20231027:1909,0.0,0.0,0.0,0.0,0.0,21.41,1.31,0.0
20231027:2009,0.0,0.0,0.0,0.0,0.0,20.49,1.52,0.0
20231027:2109,0.0,0.0,0.0,0.0,0.0,20.0,1.59,0.0
20231027:2209,0.0,0.0,0.0,0.0,0.0,19.55,1.59,0.0
20231027:2309,0.0,0.0,0.0,0.0,0.0,19.15,1.59,0.0
20231028:0009,0.0,0.0,0.0,0.0,0.0,18.84,1.66,0.0
20231028:0109,0.0,0.0,0.0,0.0,0.0,18.54,1.66,0.0
20231028:0209,0.0,0.0,0.0,0.0,0.0,18.24,1.59,0.0
20231028:0309,0.0,0.0,0.0,0.0,0.0,17.99,1.59,0.0
20231028:0409,0.0,0.0,0.0,0.0,0.0,17.74,1.52,0.0
20231028:0509,1644800.0,125.28,94.3,1.73,11.9,18.42,1.17,0.0
20231028:0609,3757500.0,329.28,151.42,3.93,22.44,22.63,0.76,0.0
20231028:0709,5312000.0,517.45,180.17,5.85,31.48,26.07,0.97,0.0
20231028:0809,6171900.0,627.59,206.31,7.13,38.2,27.94,0.9,0.0
20231028:0909,6568800.0,698.79,209.56,7.8,41.57,29.03,0.62,0.0
20231028:1009,6440900.0,687.41,207.13,7.67,40.89,29.68,0.48,0.0
20231028:1109,5872900.0,607.34,194.95,6.81,36.31,29.93,0.62,0.0
20231028:1209,4866600.0,486.51,162.05,5.36,28.72,29.71,0.9,0.0
20231028:1309,3219300.0,299.39,126.29,3.36,19.11,28.96,1.17,0.0
20231028:1409,914400.0,74.23,65.37,1.07,8.22,27.6,1.1,0.0
20231028:1509,0.0,0.0,0.0,0.0,0.0,25.98,0.69,0.0
20231028:1609,0.0,0.0,0.0,0.0,0.0,25.02,0.41,0.0
20231028:1709,0.0,0.0,0.0,0.0,0.0,23.85,0.55,0.0
20231028:1809,0.0,0.0,0.0,0.0,0.0,22.13,0.97,0.0
20231028:1909,0.0,0.0,0.0,0.0,0.0,20.92,1.45,0.0
20231028:2009,0.0,0.0,0.0,0.0,0.0,20.28,1.59,0.0
20231028:2109,0.0,0.0,0.0,0.0,0.0,19.81,1.72,0.0
20231028:2209,0.0,0.0,0.0,0.0,0.0,19.36,1.79,0.0
20231028:2309,0.0,0.0,0.0,0.0,0.0,18.9,1.72,0.0
20231029:0009,0.0,0.0,0.0,0.0,0.0,18.46,1.72,0.0
20231029:0109,0.0,0.0,0.0,0.0,0.0,18.16,1.72,0.0
20231029:0209,0.0,0.0,0.0,0.0,0.0,17.88,1.72,0.0
20231029:0309,0.0,0.0,0.0,0.0,0.0,17.64,1.72,0.0
20231029:0409,0.0,0.0,0.0,0.0,0.0,17.39,1.72,0.0
20231029:0509,1465300.0,102.83,93.68,1.6,11.69,17.92,1.52,0.0
20231029:0609,3372900.0,261.41,167.26,3.63,22.2,22.33,1.17,0.0
20231029:0709,5269000.0,501.26,183.27,5.74,31.21,25.98,1.59,0.0
20231029:0809,6198800.0,620.57,205.25,7.03,37.89,27.83,1.59,0.0
20231029:0909,6614300.0,691.98,208.54,7.7,41.24,29.12,1.31,0.0
20231029:1009,6476300.0,680.58,206.11,7.57,40.56,29.83,1.1,0.0
20231029:1109,5934400.0,611.81,189.73,6.77,36.0,30.07,1.24,0.0
20231029:1209,4814200.0,470.13,166.43,5.26,28.45,29.89,1.45,0.0
20231029:1309,3421100.0,334.67,116.33,3.46,18.86,29.17,1.72,0.0
20231029:1409,673500.0,45.55,60.81,0.9,8.0,27.83,1.66,0.0
20231029:1509,0.0,0.0,0.0,0.0,0.0,26.37,0.9,0.0
20231029:1609,0.0,0.0,0.0,0.0,0.0,25.42,0.48,0.0
20231029:1709,0.0,0.0,0.0,0.0,0.0,24.48,0.55,0.0
20231029:1809,0.0,0.0,0.0,0.0,0.0,22.49,1.03,0.0
20231029:1909,0.0,0.0,0.0,0.0,0.0,21.39,1.31,0.0
20231029:2009,0.0,0.0,0.0,0.0,0.0,20.84,1.52,0.0
20231029:2109,0.0,0.0,0.0,0.0,0.0,20.7,1.79,0.0
20231029:2209,0.0,0.0,0.0,0.0,0.0,20.19,1.72,0.0
20231029:2309,0.0,0.0,0.0,0.0,0.0,19.57,1.38,0.0
20231030:0009,0.0,0.0,0.0,0.0,0.0,19.3,1.1,0.0
20231030:0109,0.0,0.0,0.0,0.0,0.0,18.84,1.1,0.0
20231030:0209,0.0,0.0,0.0,0.0,0.0,18.38,1.24,0.0
20231030:0309,0.0,0.0,0.0,0.0,0.0,18.28,1.38,0.0
20231030:0409,0.0,0.0,0.0,0.0,0.0,18.17,1.38,0.0
20231030:0509,862400.0,37.96,84.49,1.21,11.48,18.97,0.97,0.0
20231030:0609,3403200.0,276.08,161.39,3.64,21.96,23.05,0.41,0.0
20231030:0709,4846300.0,431.66,204.54,5.42,30.93,25.7,0.48,0.0
20231030:0809,5913900.0,586.16,215.61,6.85,37.58,27.53,0.41,0.0
20231030:0909,6669800.0,729.15,186.52,7.75,40.91,28.75,0.9,0.0
20231030:1009,6394100.0,656.57,211.32,7.41,40.23,29.44,1.31,0.0
20231030:1109,5759400.0,567.12,203.2,6.53,35.7,29.75,1.52,0.0
20231030:1209,4955400.0,503.09,152.0,5.33,28.18,29.73,1.52,0.0
20231030:1309,2803900.0,231.21,139.58,3.02,18.62,29.23,1.52,0.0
20231030:1409,554300.0,33.28,56.77,0.81,7.78,28.1,1.52,0.0
20231030:1509,0.0,0.0,0.0,0.0,0.0,26.62,1.1,0.0
20231030:1609,0.0,0.0,0.0,0.0,0.0,25.25,0.76,0.0
20231030:1709,0.0,0.0,0.0,0.0,0.0,25.08,0.28,0.0
20231030:1809,0.0,0.0,0.0,0.0,0.0,23.67,0.69,0.0
20231030:1909,0.0,0.0,0.0,0.0,0.0,22.25,1.03,0.0
20231030:2009,0.0,0.0,0.0,0.0,0.0,21.66,1.1,0.0
20231030:2109,0.0,0.0,0.0,0.0,0.0,21.2,1.31,0.0
20231030:2209,0.0,0.0,0.0,0.0,0.0,21.17,1.52,0.0
20231030:2309,0.0,0.0,0.0,0.0,0.0,21.2,1.59,0.0
20231031:0009,0.0,0.0,0.0,0.0,0.0,21.29,1.79,0.0
20231031:0109,0.0,0.0,0.0,0.0,0.0,21.48,1.93,0.0
20231031:0209,0.0,0.0,0.0,0.0,0.0,21.43,1.79,0.0
20231031:0309,0.0,0.0,0.0,0.0,0.0,20.49,1.31,0.0
20231031:0409,0.0,0.0,0.0,0.0,0.0,21.11,0.62,0.0
20231031:0509,1273800.0,86.71,89.71,1.46,11.26,21.42,0.41,0.0
20231031:0609,1547200.0,42.93,162.79,2.26,21.72,22.96,0.28,0.0
20231031:0709,3708300.0,228.94,250.84,4.52,30.66,25.68,0.76,0.0
20231031:0809,4803600.0,337.77,291.26,5.82,37.28,26.69,1.03,0.0
20231031:0909,404100.0,0.0,66.82,0.83,40.58,27.81,1.38,0.0
20231031:1009,311400.0,0.0,54.58,0.68,39.91,27.95,1.59,0.0
20231031:1109,976200.0,0.0,139.28,1.73,35.4,28.05,1.17,0.0
20231031:1209,346500.0,0.0,59.29,0.74,27.91,27.89,0.9,0.0
20231031:1309,87800.0,0.0,22.59,0.28,18.39,27.38,0.76,0.0
20231031:1409,229600.0,4.54,39.23,0.5,7.58,26.63,0.76,0.0
20231031:1509,0.0,0.0,0.0,0.0,0.0,25.72,1.17,0.0
20231031:1609,0.0,0.0,0.0,0.0,0.0,24.84,1.66,0.0
20231031:1709,0.0,0.0,0.0,0.0,0.0,23.96,1.72,0.0
20231031:1809,0.0,0.0,0.0,0.0,0.0,23.21,1.66,0.0
20231031:1909,0.0,0.0,0.0,0.0,0.0,22.38,1.45,0.0
20231031:2009,0.0,0.0,0.0,0.0,0.0,21.73,1.31,0.0
20231031:2109,0.0,0.0,0.0,0.0,0.0,21.21,1.03,0.0
20231031:2209,0.0,0.0,0.0,0.0,0.0,20.82,1.31,0.0
20231031:2309,0.0,0.0,0.0,0.0,0.0,20.5,1.38,0.0
20231101:0009,0.0,0.0,0.0,0.0,0.0,20.64,1.79,0.0
20231101:0109,0.0,0.0,0.0,0.0,0.0,20.67,2.0,0.0
20231101:0209,0.0,0.0,0.0,0.0,0.0,20.82,1.93,0.0
20231101:0309,0.0,0.0,0.0,0.0,0.0,20.78,2.0,0.0
